cod_ga,program,subtitle,type_course,state,start1,start2,end,durationPre,durationSem,hours,pricePre,priceSem,formatPre,formatSem,esperience,idioma,languaje,cand_fee,dscto_header,dscto_footer,end_dscto,round_1,round_2,round_3,price_r1,price_r2,price_r3,holiday,hubs,call,brochure,img_home,url_web,url_landing,url_pay,cod_pay
,EXECUTIVE MASTER,,exm,,PRE,SEM,,PRE,SEM,,PRE,SEM,PRE,SEM,,,,,,,,,,,,,,,,,,IMAGEN HOME,,,,
EMB,Business Analytics,,exm,A,17/4/2023,19/1/2024,,9 meses,12 meses,,26.900€,24.500€,Barcelona,60% online + 40% in class ,Mínimo 4 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,10/2/2023,24/3/2023,5/5/2023,,,,,exm all_prog best_prog new_prog      trans_digi ,-,-,-,https://www.esade.edu/executive-education/es/executive-master/executive-master-in-business-analytics-emiba,https://online.inonesade.com/executive-master-business-analytics-esd-emb-esp/,-,-
EMD,Digital Business,,exm,A,19/1/2024,11/9/2023,,9 meses,12 meses,,25.400€,24.500€,Barcelona / Madrid,60% online + 40% in class ,Mínimo 4 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,14/12/2022,20/1/2023,24/3/2023,,,,,exm all_prog best_prog       trans_digi ,-,-,-,https://www.esade.edu/executive-education/es/executive-master/executive-master-en-digital-business-emdb,https://online.inonesade.com/executive-master-digital-business-esd-emd-esp/ ,-,-
MIM,EMiM,,exm,A,,17/4/2023,,,15 meses,,-,28.400€,-,60% online + 40% in class ,Mínimo 4 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,14/12/2022,20/1/2023,24/3/2023,,,,,exm all_prog best_prog    dir_gral_estra    ,-,-,-,https://www.esade.edu/executive-education/es/executive-masters/executive-master-in-management-emim,https://online.inonesade.com/executive-master-in-management-esd-mim-esp/,-,-
MIP,EMiM Presencial,,exm,A,6/10/2023,,,15 meses,,,28.400€,-,Barcelona,-,Mínimo 4 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,14/12/2022,20/1/2023,24/3/2023,,,,,exm all_prog best_prog    dir_gral_estra    ,-,-,-,-,https://online.inonesade.com/executive-master-in-management-presencial-esd-mip-esp/,-,-
EMF,Finanzas,,exm,A,6/10/2023,17/4/2023,,9 meses,12 meses,,26.900€,24.500€,Barcelona / Madrid,60% online + 40% in class ,Mínimo 4 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,14/12/2022,20/1/2023,24/3/2023,,,,,exm all_prog best_prog      finan  ,-,-,-,https://www.esade.edu/executive-education/es/executive-master/executive-master-en-finanzas-emfv,https://online.inonesade.com/executive-master-finanzas-esd-emf-esp/,-,-
EMV,Marketing y Ventas,,exm,A,6/10/2023,17/4/2023,,9 meses,12 meses,,26.900€,24.500€,Barcelona / Madrid,60% online + 40% in class ,Mínimo 4 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,14/12/2022,20/1/2023,24/3/2023,,,,,exm all_prog best_prog     mkt_venta   ,-,-,-,https://www.esade.edu/executive-education/es/executive-master/executive-master-en-marketing-y-ventas-emmv,https://online.inonesade.com/executive-master-marketing-y-ventas-esd-emv-esp/,-,-
,PROGRAMA DE ALTA DIRECCIÓN - CXO,,cxo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,
CSO,Chief Commercial Officer,,cxo,A,,22/3/2023,,,12 meses,,,18.000€,,Semipresencial,15 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,10/2/2023,3/3/2023,22/3/2023,,,,,cxo all_prog best_prog new_prog    mkt_venta   ,-,-,-,https://www.esade.edu/executive-education/es/programa/programa-de-alta-direccion-chief-commercial-officer,https://online.inonesade.com/cxo-chief-commercial-officer-esd-cso-esp-lp/,https://online.inonesade.com/formulario-de-admision-cxo-admi/,-
CMO,Chief Marketing Officer,,cxo,A,,22/3/2023,,,12 meses,,,18.000€,,Semipresencial,15 años,Español,es-ES,,Bonificación de hasta 15%*,Register now! Receive 5% off for a limited time only,,10/2/2023,3/3/2023,22/3/2023,,,,,cxo all_prog best_prog     mkt_venta   ,-,-,-,https://www.esade.edu/executive-education/es/programa/programa-de-alta-direccion-chief-marketing-officer,https://online.inonesade.com/cxo-chief-marketing-officer/,https://online.inonesade.com/formulario-de-admision-cxo-admi/,-
,PROGRAMAS DE ESPECIALIZACIÓN,,pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBA,Business Analytics,,pe,A,30/5/2023,,,6 meses lectivos,,,8.100€,,Online ,Jornadas Presenciales,,Español,es-ES,,,,,,,,,,,,pe all_prog  new_prog    mkt_venta  trans_digi ,-,-,-,https://www.esade.edu/executive-education/es/programa/programa-de-especializacion-en-business-analytics,https://online.inonesade.com/programa-de-especializacion-business-analytics-esd-cba-esp/,https://online.inonesade.com/formulario-de-admision-programa-de-especializacion-admi/,-
